b1a3
h7h6
a1b1
h8h7
b1a1
h7h8
g1f3
h8h7
a1b1
h7h8
h1g1
h8h7
b1a1
h7h8
g1h1
h8h7
a1b1
h7h8
b2b3
h8h7
b1a1
h7h8
c1b2
h8h7
a1b1
g7g6
b1c1
h6h5
f3g5
h7h6
h2h4
f7f5
f2f4
d7d6
c1b1
e8d7
b1c1
d8e8
c1b1
e8d8
b1a1
d8e8
d1c1
e8d8
a1b1
d8e8
e1d1
e8d8
b1a1
d8e8
c1b1
e8d8
d1c1
d8e8
h1g1
e8d8
c1d1
d8e8
b1c1
e8d8
a1b1
d8e8
d1e1
e8d8
b1a1
d8e8
c1d1
e8d8
a1b1
d8e8
b1c1
e8d8
e1f2
d8e8
c1b1
e8d8
b1a1
d8e8
d1e1
e8d8
a1b1
d8e8
c2c3
h6h8
c3c4
h8h6
b1c1
e8d8
c4c5
d6d5
g5f7
d8e8
f7h6
g8h6
b2h8
h6g8
h8e5
e8d8
c1d1
c7c6
d2d3
b8a6
b3b4
g8h6
d1c1
h6g8
c1b1
g8h6
b1a1
h6g8
e1d2
g8h6
a1b1
h6g8
b1c1
g8h6
c1d1
h6g8
d1e1
g8h6
g1h1
h6g8
e1d1
g8h6
d1c1
h6g8
c1b1
g8h6
b1a1
h6g8
h1h2
g8h6
a1b1
h6g8
b1c1
g8h6
c1d1
h6g8
d1e1
g8h6
d2c2
a6b4
c2a4
b4a2
e5h8
d8e8
e1d1
h6g8
e2e3
g8h6
d1e1
h6g8
e1b1
a8b8
h8e5
b8a8
d3d4
g8h6
b1a1
a2c3
a1b1
c3a4
b1c1
h6g8
e5h8
g8h6
h8e5
h6g8
e5h8
g8h6
h8e5
